FirstName,LastName,BuildingNumber,StreetName,StreetType,City,Postcode,State,Ethnicity,AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Cohort
Lori,Jarvis,846,Alan Meadows,Lane,FPO AE 78469,,,white,11,19.91402389623437,219.05426285857808,Premium,Mailed check,No,TV Shows,Yes,Computer,6.26942297125317,101.42969733998356,16,Drama,3.075018403250046,0,Female,17,No,No,KEQ4VEG2FJ,0,0-3-nan
Dr,Colin,45125,Little Terrace,River,North Jenniferton,4128.0,ID,white,22,8.722709784698448,191.89961526336583,Standard,Credit card,Yes,Both,No,Tablet,26.42097608795912,73.32565470751888,25,Action,2.8063347979807016,5,Female,24,Yes,No,LL3XRMABSB,0,0-3-4128.0
David,Perez,31258,Robert Shoals,Islands,Thomasberg,67735.0,WY,hispanic,4,19.911357235675737,79.64542894270295,Standard,Mailed check,Yes,Both,No,Computer,7.217470313732732,160.27476636854004,20,Drama,2.4671547434741337,1,Female,11,Yes,Yes,5ZG93RBWOD,0,0-2-67735.0
Allison,Baldwin,743,Nichols Summit,Throughway,Port Emma,40097.0,MS,white,74,18.75715320920345,1388.029337481055,Standard,Electronic check,Yes,Movies,Yes,Mobile,38.30802102980977,87.50914970868814,8,Comedy,2.402098214101089,9,Female,18,No,Yes,3J4ZFIXKJR,1,0-3-40097.0
Tammy,Martinez,495,Lindsey Freeway,Branch,East Douglasfort,24108.0,WA,hispanic,114,9.811017705207345,1118.4560183936374,Premium,Electronic check,Yes,Movies,Yes,Tablet,5.81914895915827,95.26788849273072,12,Drama,3.669507437478669,0,Female,10,Yes,Yes,DRSOGC6UB2,1,0-2-24108.0
Nicole,Edwards,66655,Nunez Club,Greens,Braunmouth,80817.0,MD,white,11,18.93227874594701,208.25506620541705,Premium,Bank transfer,No,Movies,Yes,Mobile,22.587219926818403,60.10407481701769,17,Fantasy,4.17201168951929,3,Male,10,No,Yes,DS3JBWMW7F,1,1-3-80817.0
Jeffrey,Perry,69251,David Extension,Walks,Whiteside,52399.0,NM,white,98,9.592388332219809,940.0540565575412,Standard,Credit card,No,Movies,No,Computer,23.38082499652456,150.3110260615302,2,Action,2.7661093325342327,8,Female,3,Yes,No,BS3BBV0SG4,0,0-3-52399.0
Elizabeth,Taylor,420,Martha Expressway,Fort,Deanview,26177.0,ND,white,110,6.747413202924935,742.2154523217429,Premium,Credit card,No,TV Shows,Yes,TV,5.97390543334664,95.8368209532008,11,Sci-Fi,2.5438754609209044,1,Female,19,No,Yes,T7WFJG6ZKF,0,0-3-26177.0
Priscilla,Carter,23591,Richard Hill,Shoal,Barreramouth,63484.0,DE,white,115,7.685142646768682,883.7914043783984,Premium,Bank transfer,No,TV Shows,Yes,TV,35.37286661395672,100.9249142564042,17,Comedy,1.6197955495508616,6,Female,2,No,No,X12A4006QR,0,0-3-63484.0
Lindsay,Ray,647,Watts Parks,Port,Port Dwayne,3453.0,CT,white,18,13.474178923880988,242.5352206298577,Premium,Mailed check,Yes,TV Shows,No,Computer,2.217345742911754,26.666254055760582,49,Fantasy,3.4899052840785445,5,Female,0,No,No,AL8QRS6T6D,0,0-3-3453.0
Kate,Read,262,Jennifer Plains,Bypass,Youngtown,4219.0,MN,white,51,5.697994750227397,290.59773226159723,Basic,Bank transfer,No,Both,No,Computer,33.35817857839863,11.186209101423906,14,Sci-Fi,4.960887867819812,6,Male,1,No,No,MDFM485D1I,0,1-3-4219.0
Vincent-Gilbert,Audet,81956,Timothy Mountains,Alley,Kristenland,34542.0,TN,white,7,11.336666613948609,79.35666629764026,Premium,Mailed check,No,TV Shows,No,Computer,30.877505097280228,155.73501287449236,13,Fantasy,3.9636321832298935,7,Male,4,No,No,32NE1F76FN,0,1-3-34542.0
Geoffrey,Allen,4305,Katherine Mountains,Squares,Julieberg,68918.0,NY,white,43,7.760991623058096,333.7226397914981,Standard,Credit card,Yes,TV Shows,No,Computer,37.48448831798035,99.928515295219,35,Action,3.993452310265944,0,Male,11,Yes,Yes,WKAYLTVQH2,0,1-3-68918.0
Isabel,Heredia,15969,Allen Mission,Ranch,Ryanshire,45593.0,VT,hispanic,45,6.856006684726622,308.520300812698,Premium,Electronic check,Yes,TV Shows,Yes,Computer,30.82244196663224,165.84391949709777,5,Fantasy,1.6633345565446027,3,Male,5,No,No,AJTH8V3JZM,0,1-2-45593.0
Lisa,Wyatt,93536,Gibson Plaza,Overpass,DPO AP 09899,,,white,93,14.36050472226743,1335.526939170871,Standard,Mailed check,No,TV Shows,No,Computer,8.176993601580264,126.3938692564618,19,Fantasy,2.672769400259719,2,Male,7,Yes,Yes,R93ITR28EI,0,1-3-nan
Perla,Mojica,2475,Kerri Drive,Station,Port Heatherport,18152.0,PW,hispanic,53,13.305331943084733,705.1825929834907,Basic,Bank transfer,No,Both,Yes,Computer,23.315495918540588,145.07958587839957,10,Comedy,1.6525263690230465,5,Female,22,Yes,No,VJU1CN688J,0,0-2-18152.0
Samantha,Lopez,25645,Julie Vista,Track,Williamstad,53736.0,WY,hispanic,105,12.504579489006392,1312.9808463456711,Basic,Mailed check,Yes,Both,No,TV,9.861257261922692,123.27485830863569,26,Comedy,2.487814310999238,6,Female,11,No,No,UOQRI725J3,0,0-2-53736.0
Ms.,Daire,2336,Fernandez Skyway,Mission,Hoganmouth,82644.0,AR,white,91,8.670626533536336,789.0270145518066,Basic,Credit card,Yes,Both,No,Tablet,27.053193692261026,138.54846929130358,38,Action,3.0780841095517166,7,Female,18,No,Yes,205BL5IIS1,0,0-3-82644.0
Miraan,Deshpande,55988,Anthony River,Keys,North Evanborough,73840.0,RI,white,62,12.25454611391259,759.7818590625807,Basic,Bank transfer,No,TV Shows,No,Computer,1.9854120206794856,59.68481065581745,6,Sci-Fi,1.5451276209872669,8,Male,18,No,Yes,X8Y8H7MN2P,0,1-3-73840.0
Rebecca,Santana,32928,Alan Heights,Ports,APO AE 29194,,,hispanic,75,10.438762711281676,782.9072033461257,Basic,Bank transfer,No,TV Shows,Yes,TV,29.206237947560783,94.42189155201254,31,Drama,4.438659782847552,1,Male,20,Yes,No,OJGBRJI6DX,0,1-2-nan
Mr,Terry,0,Clifford Extension,Club,Robertsshire,45043.0,VT,white,66,7.890832985055977,520.7949770136945,Basic,Mailed check,Yes,Movies,Yes,Computer,6.314927641555108,16.990408997023284,31,Fantasy,3.553406562056859,1,Female,3,No,No,KYOKRC29CI,0,0-3-45043.0
Randall,Rosales,89717,Mitchell Forks,Throughway,New Ericfurt,37677.0,AS,hispanic,109,12.462734950361323,1358.438109589384,Basic,Electronic check,Yes,Both,Yes,TV,14.356215910581238,7.978467027489454,12,Drama,3.528294768618868,4,Female,14,Yes,No,NS0GLN3LD7,1,0-2-37677.0
Anthony,Sims,1663,Johns Mountain,Pines,Lake Kevin,13740.0,RI,white,90,11.585929591553976,1042.7336632398578,Basic,Credit card,Yes,TV Shows,Yes,Tablet,3.8679755525562527,110.72063747184455,9,Sci-Fi,3.518485688799087,5,Female,18,Yes,No,PWUMJ6VR82,0,0-3-13740.0
Leon,Clark,6752,Smith Drive,Lane,Olsonton,11707.0,VA,white,1,13.636084840607264,13.636084840607264,Standard,Mailed check,No,Both,No,Mobile,37.06295957479569,148.39317524979867,10,Comedy,2.7935203155170214,9,Female,13,No,Yes,5L6TW71UNA,1,0-3-11707.0
Bethany,Fisher-Mason,961,Justin Rapid,Gateway,North Gina,63683.0,RI,white,91,6.768043142871191,615.8919260012784,Basic,Bank transfer,Yes,Both,No,Computer,26.43888979207133,53.98212251737728,26,Action,4.061053329152392,8,Male,17,Yes,No,TU04INZSCI,0,1-3-63683.0
Susan,Smith,1920,Frederick Way,Track,Keithtown,30468.0,ID,white,60,7.338906571821081,440.3343943092648,Basic,Bank transfer,Yes,Movies,Yes,Mobile,25.09770318602786,134.0888677161445,10,Sci-Fi,1.4170527418521983,4,Female,3,No,No,P12X98NOYV,0,0-3-30468.0
Samantha,Caldwell,92849,Bauer Light,Drive,DPO AE 12726,,,white,12,6.607982890148543,79.29579468178252,Standard,Credit card,No,Movies,Yes,Mobile,9.059846297847445,179.2755770110604,29,Drama,1.0828881024606845,3,Female,8,Yes,No,9MVOU229D2,0,0-3-nan
Olga,Adalberto,37487,Warner Terrace,Turnpike,Marietown,32504.0,MI,hispanic,71,10.666756111023131,757.3396838826425,Basic,Bank transfer,Yes,TV Shows,No,Computer,39.79140939263332,127.57441040674978,30,Drama,3.8777008308379832,0,Female,14,No,No,XSTUDGFXMT,0,0-2-32504.0
Jeffrey,Murray,3485,Victor Cliff,Pass,Nathanfort,72544.0,AZ,white,95,9.646713569444987,916.4377890972738,Premium,Bank transfer,Yes,Movies,Yes,Computer,24.612851437942386,75.06243093734892,33,Action,3.623997436291738,5,Female,15,No,Yes,KD3UJ5UG1D,0,0-3-72544.0
Chad,Fernandez,701,Bullock Corner,Fork,Allenfort,41184.0,AL,hispanic,9,15.372783052013864,138.35504746812478,Premium,Mailed check,No,TV Shows,No,Mobile,19.2161814415776,143.2942758528953,24,Action,1.204065429965227,5,Female,8,No,No,C86W1D6A2H,0,0-2-41184.0
Ivan,Mondadori,44998,Jacobson Overpass,Turnpike,West David,42803.0,NE,white,57,14.50108961486807,826.56210804748,Standard,Credit card,No,TV Shows,No,Computer,29.55382840654942,38.63193489845168,21,Comedy,2.874318220072044,0,Female,19,No,No,UIO1G3V8S6,1,0-3-42803.0
Lisa,Nelson,106,Anthony Stream,Burgs,East Ryan,82395.0,NE,white,34,9.915083395749951,337.1128354554984,Basic,Bank transfer,No,Both,Yes,Computer,29.365287374593454,158.95836288367275,3,Action,1.307101673167078,9,Female,6,Yes,Yes,Z3ZAF8GHK1,1,0-3-82395.0
Stewart,Hefferon,537,Thomas Springs,Spurs,FPO AA 05890,,,white,119,8.895961282227216,1058.619392585039,Premium,Mailed check,No,TV Shows,Yes,Computer,15.321307515238932,7.478124935099482,23,Action,3.8769653700797697,8,Male,4,No,No,SYB22UFG8Y,0,1-3-nan
Christian,Long,875,Sullivan Walks,Crescent,New Andrew,37399.0,MH,white,103,8.985917557339807,925.549508406,Premium,Electronic check,Yes,TV Shows,No,Tablet,11.09928707849182,32.10056309219637,45,Sci-Fi,3.1868974714090803,0,Female,17,No,No,9M2MNSYWXR,0,0-3-37399.0
Lisa,Hamilton,59529,Lauren Manors,Expressway,Port Jessicamouth,46047.0,NV,white,95,17.276317695010817,1641.2501810260276,Premium,Credit card,No,Both,Yes,Computer,34.07749879316548,74.06590868217616,16,Action,4.202195727799376,7,Female,8,No,Yes,40ECLBR65Q,0,0-3-46047.0
Janice,Crawford,5730,Park Hollow,Squares,FPO AA 37284,,,white,101,11.13023729146075,1124.1539664375357,Premium,Bank transfer,No,Both,Yes,TV,4.493661561816424,156.72618461672542,12,Fantasy,1.6091190772664428,5,Female,11,No,No,2S6HY23SB0,0,0-3-nan
John,Martin,32273,Page Keys,Views,Savannahborough,84836.0,TN,white,111,9.590172334817035,1064.509129164691,Basic,Credit card,No,Both,Yes,Tablet,16.963202054586432,95.0585761859164,43,Drama,1.2822410664967632,2,Female,17,No,No,HKUM3NF2WD,0,0-3-84836.0
Todd,Thomas,93840,Banks Turnpike,Shoals,Karenland,92652.0,NE,white,25,8.965207336236727,224.13018340591816,Standard,Credit card,No,Movies,Yes,Computer,5.645498713216768,135.6457753176371,0,Drama,1.4181262587465802,2,Male,10,Yes,Yes,JO8PRP2AH1,1,1-3-92652.0
William,Dyer,31553,Kenneth Garden,Ways,Sabrinaville,47222.0,CT,white,16,16.699975186268148,267.1996029802904,Premium,Credit card,Yes,Both,No,Tablet,16.70952553033893,171.9835201835237,49,Drama,1.8080546918859013,3,Female,4,No,Yes,HO1RJVLQEA,0,0-3-47222.0
